theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,-1.102306808501651e+00,4.611142175791504e+00,-1.102306809227924e+00,4.611142175990974e+00
0.003141592653590,-1.101127599104360e+00,4.608100409911987e+00,-1.100869249109511e+00,4.608279477880602e+00
0.006283185307180,-1.097593470773155e+00,4.598982547764241e+00,-1.096561363486166e+00,4.599697721631020e+00
0.009424777960769,-1.091714914368150e+00,4.583810876002933e+00,-1.089397522207496e+00,4.585415907199794e+00
0.012566370614359,-1.083509385584000e+00,4.562622473033582e+00,-1.079401627224034e+00,4.565465653579627e+00
0.015707963267949,-1.073001261344489e+00,4.535469110127273e+00,-1.066607040964128e+00,4.539891127465676e+00
0.018849555921539,-1.060221778761750e+00,4.502417113266978e+00,-1.051056486212738e+00,4.508748943533692e+00
0.021991148575129,-1.045208956668590e+00,4.463547186012891e+00,-1.032801917644352e+00,4.472108036474779e+00
0.025132741228718,-1.028007499737461e+00,4.418954193755205e+00,-1.011904365207923e+00,4.430049504973052e+00
0.028274333882308,-1.008668685205283e+00,4.368746909804123e+00,-9.884337496068460e-01,4.382666427854338e+00
0.031415926535898,-9.872502322337239e-01,4.313047723853403e+00,-9.624686701670884e-01,4.330063652679743e+00
0.034557519189488,-9.638161539438743e-01,4.251992313431760e+00,-9.340961654340326e-01,4.272357557097182e+00
0.037699111843078,-9.384365921798845e-01,4.185729279044547e+00,-9.034114468920665e-01,4.209675783312124e+00
0.040840704496667,-9.111876350719114e-01,4.114419743788059e+00,-8.705176062533303e-01,4.142156946079843e+00
0.043982297150257,-8.821511174897252e-01,4.038236918304770e+00,-8.355252968187057e-01,4.069950314669131e+00
0.047123889803847,-8.514144045025910e-01,3.957365632032684e+00,-7.985523894730447e-01,3.993215469293810e+00
0.050265482457437,-8.190701579875723e-01,3.872001831783612e+00,-7.597236039362353e-01,3.912121932552804e+00
0.053407075111026,-7.852160865611464e-01,3.782352048772604e+00,-7.191701159566498e-01,3.826848776470189e+00
0.056548667764616,-7.499546790439058e-01,3.688632835303606e+00,-6.770291411989372e-01,3.737584205773137e+00
0.059690260418206,-7.133929217083813e-01,3.591070172402425e+00,-6.334434966475067e-01,3.644525118096879e+00
0.062831853071796,-6.756419996031415e-01,3.489898849769785e+00,-5.885611404176764e-01,3.547876641853247e+00
0.065973445725386,-6.368169822952944e-01,3.385361819514274e+00,-5.425346909413847e-01,3.447851652553422e+00
0.069115038378975,-5.970364944249307e-01,3.277709525205050e+00,-4.955209265698813e-01,3.344670268423983e+00
0.072256631032565,-5.564223715220037e-01,3.167199207869437e+00,-4.476802667151021e-01,3.238559326210356e+00
0.075398223686155,-5.150993015957578e-01,3.054094190639005e+00,-3.991762357313487e-01,3.129751838111861e+00
0.078539816339745,-4.731944530715568e-01,2.938663143830157e+00,-3.501749108221008e-01,3.018486430848052e+00
0.081681408993335,-4.308370897170886e-01,2.821179332321636e+00,-3.008443553399961e-01,2.905006767907977e+00
0.084823001646924,-3.881581732713730e-01,2.701919847168639e+00,-2.513540389335807e-01,2.789560956088658e+00
0.087964594300514,-3.452899545644219e-01,2.581164823467964e+00,-2.018742460805465e-01,2.672400937483853e+00
0.091106186954104,-3.023655539914399e-01,2.459196646557179e+00,-1.525754746323619e-01,2.553781868135506e+00
0.094247779607694,-2.595185322861805e-01,2.336299148702942e+00,-1.036278260829415e-01,2.433961484617752e+00
0.097389372261284,-2.168824526186153e-01,2.212756798496096e+00,-5.520038935861457e-02,2.313199459874681e+00
0.100530964914873,-1.745904351247330e-01,2.088853885231484e+00,-7.460620010808322e-03,2.191756749685388e+00
0.103672557568463,-1.327747050614274e-01,1.964873700610478e+00,3.942628322298170e-02,2.069894931185378e+00
0.106814150222053,-9.156613586242249e-02,1.841097720152527e+00,8.529800244561268e-02,1.947875534921239e+00
0.109955742875643,-5.109378845639456e-02,1.717804786751521e+00,1.299957230913044e-01,1.825959371968405e+00
0.113097335529233,-1.148444829155028e-02,1.595270298852724e+00,1.733647526851577e-01,1.704405857689510e+00
0.116238928182822,2.713783840709725e-02,1.473765405761668e+00,2.152551336059072e-01,1.583472333758637e+00
0.119380520836412,6.465222754143385e-02,1.353556212625131e+00,2.555222475222445e-01,1.463413390122413e+00
0.122522113490002,1.009415375220651e-01,1.234902997645390e+00,2.940274091152977e-01,1.344480188611659e+00
0.125663706143592,1.358927053717967e-01,1.118059444104037e+00,3.306384466479731e-01,1.226919789959097e+00
0.128805298797182,1.693972367260461e-01,1.003271889776825e+00,3.652302668984115e-01,1.110974486015821e+00
0.131946891450771,2.013516478416570e-01,8.907785963202828e-01,3.976854019386926e-01,9.968811389955519e-01
0.135088484104361,2.316578976688774e-01,7.808090411988373e-01,4.278945352140286e-01,8.848705296065079e-01
0.138230076757951,2.602238079907625e-01,6.735832347021560e-01,4.557570043607487e-01,7.751667159596385e-01
0.141371669411541,2.869634695920920e-01,5.693110645725750e-01,4.811812781957696e-01,6.679864051658415e-01
0.144513262065130,3.117976323862742e-01,4.681916707236871e-01,5.040854053159939e-01,5.635383395551687e-01
0.147654854718720,3.346540774044443e-01,3.704128524816047e-01,5.243974317638773e-01,4.620226994661529e-01
0.150796447372310,3.554679685374705e-01,2.761505107202564e-01,5.420557852467417e-01,3.636305245634525e-01
0.153938040025900,3.741821819184042e-01,1.855681271927541e-01,5.570096234415945e-01,2.685431556482872e-01
0.157079632679490,3.907476108423151e-01,9.881628327844683e-02,5.692191439765233e-01,1.769316989245571e-01
0.160221225333079,4.051234441418917e-01,1.603222027372977e-02,5.786558537534605e-01,8.895651467789689e-02
0.163362817986669,4.172774159716856e-01,-6.266055674864320e-02,5.853027953662077e-01,4.766732312435061e-03
0.166504410640259,4.271860250025107e-01,-1.371526296016759e-01,5.891547284730206e-01,-7.550020632930707e-02
0.169646003293849,4.348347210897986e-01,-2.073489703830120e-01,5.902182641041090e-01,-1.517189734636846e-01
0.172787595947439,4.402180575571076e-01,-2.731691959624369e-01,5.885119500225746e-01,-2.237767498136081e-01
0.175929188601028,4.433398073279488e-01,-3.345477720573963e-01,5.840663054116608e-01,-2.915735851803878e-01
0.179070781254618,4.442130412467153e-01,-3.914341655540593e-01,5.769238033329228e-01,-3.550227233615585e-01
0.182212373908208,4.428601670521510e-01,-4.437929439001303e-01,5.671387995879409e-01,-4.140508896926411e-01
0.185353966561798,4.393129276052747e-01,-4.916038205742689e-01,5.547774068213849e-01,-4.685985395549814e-01
0.188495559215388,4.336123571273660e-01,-5.348616458254352e-01,5.399173129245206e-01,-5.186200662645689e-01
0.191637151868977,4.258086943727785e-01,-5.735763420730441e-01,5.226475430358675e-01,-5.640839668379681e-01
0.194778744522567,4.159612518454363e-01,-6.077727835653067e-01,5.030681646886791e-01,-6.049729642218630e-01
0.197920337176157,4.041382403667346e-01,-6.374906201071675e-01,4.812899359230968e-01,-6.412840846714599e-01
0.201061929829747,3.904165485154483e-01,-6.627840448914624e-01,4.574338964627796e-01,-6.730286890718409e-01
0.204203522483337,3.748814766867772e-01,-6.837215066946711e-01,4.316309023514290e-01,-7.002324571131752e-01
0.207345115136926,3.576264257567177e-01,-7.003853669331872e-01,4.040211047518450e-01,-7.229353233580330e-01
0.210486707790516,3.387525405890926e-01,-7.128715023146026e-01,3.747533739288572e-01,-7.411913643748089e-01
0.213628300444106,3.183683088840571e-01,-7.212888540614678e-01,3.439846697649981e-01,-7.550686362568726e-01
0.216769893097696,2.965891161384058e-01,-7.257589249304238e-01,3.118793604940199e-01,-7.646489620016228e-01
0.219911485751285,2.735367577672749e-01,-7.264152254970164e-01,2.786084916791513e-01,-7.700276683876266e-01
0.223053078404875,2.493389097231203e-01,-7.234026714242345e-01,2.443490078097186e-01,-7.713132721607997e-01
0.226194671058465,2.241285592391277e-01,-7.168769336800352e-01,2.092829292386895e-01,-7.686271155223241e-01
0.229336263712055,1.980433976187940e-01,-7.070037439142874e-01,1.735964875329066e-01,-7.621029511012630e-01
0.232477856365645,1.712251772896140e-01,-6.939581574475184e-01,1.374792226552503e-01,-7.518864767932594e-01
0.235619449019234,1.438190356341880e-01,-6.779237765611358e-01,1.011230457407025e-01,-7.381348210530040e-01
0.238761041672824,1.159727884051903e-01,-6.590919370100997e-01,6.472127156474693e-02,-7.210159794418141e-01
0.241902634326414,8.783619581831319e-02,-6.376608609028708e-01,2.846762512876109e-02,-7.007082034520913e-01
0.245044226980004,5.956020469841643e-02,-6.138347793084582e-01,-7.444772897960549e-03,-6.773993428571222e-01
0.248185819633594,3.129617032491335e-02,-5.878230281550311e-01,-4.282443684086313e-02,-6.512861430668218e-01
