theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,-6.348534436350196e-02,9.573346603265708e+00,-6.348532782670464e-02,9.573346602148634e+00
0.003141592653590,-6.399829074438651e-02,9.569241359530798e+00,-6.289261085270667e-02,9.568822424937784e+00
0.006283185307180,-6.553510243272828e-02,9.556932905003279e+00,-6.111661207310562e-02,9.555258543119004e+00
0.009424777960769,-6.808970451986424e-02,9.536443052692904e+00,-5.816378023323851e-02,9.532680884830752e+00
0.012566370614359,-7.165199727822374e-02,9.507808101147660e+00,-5.404483774751121e-02,9.501132592702087e+00
0.015707963267949,-7.620789374047078e-02,9.471078749916009e+00,-4.877474255711863e-02,9.460673917664892e+00
0.018849555921539,-8.173937210846298e-02,9.426319981522063e+00,-4.237263492923854e-02,9.411382070719323e+00
0.021991148575129,-8.822454279102457e-02,9.373610910282729e+00,-3.486176939533334e-02,9.353351033081262e+00
0.025132741228718,-9.563772981359800e-02,9.313044598385151e+00,-2.626943208117084e-02,9.286691325258012e+00
0.028274333882308,-1.039495662880768e-01,9.244727839732937e+00,-1.662684373506108e-02,9.211529735715636e+00
0.031415926535898,-1.131271035768991e-01,9.168780912162699e+00,-5.969048814278219e-03,9.128009009921943e+00
0.034557519189488,-1.231339337339243e-01,9.085337298712910e+00,5.665208959680035e-03,9.036287500655158e+00
0.037699111843078,-1.339303247533755e-01,8.994543378718211e+00,1.823362411566114e-02,8.936538780585758e+00
0.040840704496667,-1.454733681100967e-01,8.896558089579569e+00,3.169047950862926e-02,8.828951218240151e+00
0.043982297150257,-1.577171380274053e-01,8.791552560142708e+00,4.598680840149601e-02,8.713727518561265e+00
0.047123889803847,-1.706128618645354e-01,8.679709716695292e+00,6.107056795401712e-02,8.591084229381924e+00
0.050265482457437,-1.841091009741073e-01,8.561223862662398e+00,7.688682347863852e-02,8.461251215217281e+00
0.053407075111026,-1.981519413405108e-01,8.436300233154267e+00,9.337794278376620e-02,8.324471099878123e+00
0.056548667764616,-2.126851932737344e-01,8.305154525583827e+00,1.104837998887802e-01,8.180998679489530e+00
0.059690260418206,-2.276505993995456e-01,8.168012407637201e+00,1.281419873614815e-01,8.031100307583014e+00
0.062831853071796,-2.429880501565365e-01,8.025109003933949e+00,1.462880364982181e-01,7.875053254000929e+00
0.065973445725386,-2.586358059829232e-01,7.876688362774456e+00,1.648556445390545e-01,7.713145039427643e+00
0.069115038378975,-2.745307253521643e-01,7.723002904415752e+00,1.837769080862650e-01,7.545672747419796e+00
0.072256631032565,-2.906084977953550e-01,7.564312852368396e+00,2.029825618728067e-01,7.372942315871835e+00
0.075398223686155,-3.068038810313302e-01,7.400885649242626e+00,2.224022220099125e-01,7.195267809899334e+00
0.078539816339745,-3.230509413113242e-01,7.232995358712474e+00,2.419646328281087e-01,7.012970678172372e+00
0.081681408993335,-3.392832960747578e-01,7.060922055195093e+00,2.615979164149349e-01,6.826378994767627e+00
0.084823001646924,-3.554343580060348e-01,6.884951202870223e+00,2.812298239449864e-01,6.635826688641358e+00
0.087964594300514,-3.714375795787954e-01,6.705373025687296e+00,3.007879878934487e-01,6.441652762852817e+00
0.091106186954104,-3.872266971749463e-01,6.522481870020347e+00,3.202001742240335e-01,6.244200505682544e+00
0.094247779607694,-4.027359738691095e-01,6.336575561647400e+00,3.393945336442541e-01,6.043816695808158e+00
0.097389372261284,-4.179004399770891e-01,6.147954758734371e+00,3.582998510275891e-01,5.840850803702961e+00
0.100530964914873,-4.326561304779951e-01,5.956922302503649e+00,3.768457921117196e-01,5.635654191420169e+00
0.103672557568463,-4.469403184335968e-01,5.763782567268584e+00,3.949631465943099e-01,5.428579312923681e+00
0.106814150222053,-4.606917435469023e-01,5.568840811501038e+00,4.125840667647046e-01,5.219978917106147e+00
0.109955742875643,-4.738508350226674e-01,5.372402531589745e+00,4.296423008288473e-01,5.010205255618922e+00
0.113097335529233,-4.863599279169176e-01,5.174772819926210e+00,4.460734201073748e-01,4.799609297609051e+00
0.116238928182822,-4.981634721900274e-01,4.976255728933279e+00,4.618150393124503e-01,4.588539953426564e+00
0.119380520836412,-5.092082337080572e-01,4.777153642623095e+00,4.768070291371918e-01,4.377343309325583e+00
0.122522113490002,-5.194434864703055e-01,4.577766657238389e+00,4.909917204228907e-01,4.166361875136903e+00
0.125663706143592,-5.288211953768170e-01,4.378391972495590e+00,5.043140992030449e-01,3.955933846840013e+00
0.128805298797182,-5.372961888879134e-01,4.179323294905519e+00,5.167219919596103e-01,3.746392385903995e+00
