theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,-1.155416164311367e+00,4.083146298197812e+00,-1.155416158478479e+00,4.083146292479295e+00
0.003141592653590,-1.154205387388485e+00,4.080722081574205e+00,-1.154124079132587e+00,4.080871460808612e+00
0.006283185307180,-1.150576833478636e+00,4.073454697403518e+00,-1.150251860276074e+00,4.074051417912742e+00
0.009424777960769,-1.144541820835359e+00,4.061359931619956e+00,-1.143811546189832e+00,4.062699511404287e+00
0.012566370614359,-1.136119175379997e+00,4.044464055512120e+00,-1.134823171785010e+00,4.046837960502430e+00
0.015707963267949,-1.125335174030337e+00,4.022803767871960e+00,-1.123314704341983e+00,4.026497815842706e+00
0.018849555921539,-1.112223465520965e+00,3.996426114105354e+00,-1.109321962093463e+00,4.001718903234703e+00
0.021991148575129,-1.096824968876026e+00,3.965388382408210e+00,-1.092888509800823e+00,3.972549751393435e+00
0.025132741228718,-1.079187749741426e+00,3.929757977140770e+00,-1.074065531515940e+00,3.939047503676830e+00
0.028274333882308,-1.059366874829250e+00,3.889612269562726e+00,-1.052911680763405e+00,3.901277813869827e+00
0.031415926535898,-1.037424244775709e+00,3.845038426125444e+00,-1.029492908423650e+00,3.859314726066922e+00
0.034557519189488,-1.013428405759347e+00,3.796133214545627e+00,-1.003882268640163e+00,3.813240538711496e+00
0.037699111843078,-9.874543402756892e-01,3.743002787920669e+00,-9.761597031207347e-01,3.763145652864364e+00
0.040840704496667,-9.595832375113795e-01,3.685762447176226e+00,-9.464118042471847e-01,3.709128404782769e+00
0.043982297150257,-9.299022438102457e-01,3.624536382172163e+00,-9.147315574552209e-01,3.651294882905451e+00
0.047123889803847,-8.985041937732504e-01,3.559457391828626e+00,-8.812180633936590e-01,3.589758729353764e+00
0.050265482457437,-8.654873225828775e-01,3.490666583667501e+00,-8.459762404190710e-01,3.524640926071675e+00
0.053407075111026,-8.309549601938807e-01,3.418313053204176e+00,-8.091165080320847e-01,3.456069565746579e+00
0.056548667764616,-7.950152080823408e-01,3.342553543660761e+00,-7.707544519103823e-01,3.384179607668843e+00
0.059690260418206,-7.577805992966272e-01,3.263552086512856e+00,-7.310104712444535e-01,3.309112618709025e+00
0.062831853071796,-7.193677426046570e-01,3.181479623419698e+00,-6.900094091325732e-01,3.231016499610333e+00
0.065973445725386,-6.798969515846033e-01,3.096513610131984e+00,-6.478801668443013e-01,3.150045196819002e+00
0.069115038378975,-6.394918595574974e-01,3.008837603011168e+00,-6.047553028135091e-01,3.066358400096693e+00
0.072256631032565,-5.982790213131099e-01,2.918640828840455e+00,-5.607706172758018e-01,2.980121226187323e+00
0.075398223686155,-5.563875026320445e-01,2.826117738649627e+00,-5.160647235180288e-01,2.891503888835724e+00
0.078539816339745,-5.139484586598161e-01,2.731467546323705e+00,-4.707786067623129e-01,2.800681355486677e+00
0.081681408993335,-4.710947022399238e-01,2.634893752810359e+00,-4.250551717604560e-01,2.707832991022448e+00
0.084823001646924,-4.279602633646836e-01,2.536603656789072e+00,-3.790387802292542e-01,2.613142188930079e+00
0.087964594300514,-3.846799409535541e-01,2.436807852713672e+00,-3.328747793115046e-01,2.516795990324729e+00
0.091106186954104,-3.413888482176013e-01,2.335719717186429e+00,-2.867090223002612e-01,2.418984691289312e+00
0.094247779607694,-2.982219529188759e-01,2.233554884673840e+00,-2.406873829185276e-01,2.319901439031187e+00
0.097389372261284,-2.553136138800504e-01,2.130530713622040e+00,-1.949552644981081e-01,2.219741817394461e+00
0.100530964914873,-2.127971151452181e-01,2.026865744078632e+00,-1.496571054524250e-01,2.118703422306670e+00
0.103672557568463,-1.708041992378644e-01,1.922779147980102e+00,-1.049358824894793e-01,2.016985427783743e+00
0.106814150222053,-1.294646010023017e-01,1.818490173310129e+00,-6.093261305803354e-02,1.914788143158251e+00
0.109955742875643,-8.890558355496647e-02,1.714217583385339e+00,-1.778585856758692e-02,1.812312562243053e+00
0.113097335529233,-4.925147790786284e-02,1.610179092571969e+00,2.436877003353159e-02,1.709759905188047e+00
0.116238928182822,-1.062322785948347e-02,1.506590799784645e+00,6.539910269612942e-02,1.607331153835477e+00
0.119380520836412,2.686205822179144e-02,1.403666621164555e+00,1.051768950596432e-01,1.505226581427799e+00
