theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,2.882400678733919e-02,2.428087472354166e+01,2.882401681073620e-02,2.428087473481197e+01
0.003141592653590,2.833845753088433e-02,2.420909803095858e+01,2.936319171814671e-02,2.420987685926985e+01
0.006283185307180,2.689125715842166e-02,2.399462173844912e+01,3.096599000075767e-02,2.399771758216461e+01
0.009424777960769,2.451055625994285e-02,2.363999438986279e+01,3.358857820282756e-02,2.364688759628850e+01
0.012566370614359,2.124264593601636e-02,2.314942108300784e+01,3.715905240039975e-02,2.316149708915362e+01
0.015707963267949,1.715103180344556e-02,2.252870051455792e+01,4.157913815024379e-02,2.254721501294229e+01
0.018849555921539,1.231516493713674e-02,2.178513834417105e+01,4.672651545446326e-02,2.181118549028719e+01
0.021991148575129,6.828856359377440e-03,2.092743834577821e+01,5.245771529268333e-02,2.096192275253361e+01
0.025132741228718,7.984082775235034e-04,1.996557318662012e+01,5.861152112924993e-02,2.000918636232094e+01
0.028274333882308,-5.659498867713018e-03,1.891063701333141e+01,6.501279718500966e-02,1.896383879570983e+01
0.031415926535898,-1.242011947432003e-02,1.777468232323190e+01,7.147665543759732e-02,1.783768774507493e+01
0.034557519189488,-1.935310785939739e-02,1.657054385232760e+01,7.781286550634343e-02,1.664331574723087e+01
0.037699111843078,-2.632508424026702e-02,1.531165241521535e+01,8.383040596392939e-02,1.539389993785616e+01
0.040840704496667,-3.320224862396029e-02,1.401184178231034e+01,8.934205232605273e-02,1.410302487958301e+01
0.043982297150257,-3.985298887446208e-02,1.268515177431166e+01,9.416889607468849e-02,1.278449150494789e+01
0.047123889803847,-4.615042964648446e-02,1.134563079110411e+01,9.814469059014594e-02,1.145212525527921e+01
0.050265482457437,-5.197487043626994e-02,1.000714097202020e+01,1.011199237643679e-01,1.011958648212024e+01
0.053407075111026,-5.721606366297158e-02,8.683169107476832e+00,1.029655232518715e-01,8.800186109723967e+00
0.056548667764616,-6.177528739334946e-02,7.386646290216003e+00,1.035761086418927e-01,7.506709437057104e+00
0.059690260418206,-6.556717196959660e-02,6.129779110701459e+00,1.028727151127328e-01,6.251250788309226e+00
0.062831853071796,-6.852124528655421e-02,4.923894969438587e+00,1.008049251206842e-01,5.045061505563820e+00
0.065973445725386,-7.058316766281598e-02,3.779303803996648e+00,9.735235810475766e-02,3.898413520556154e+00
0.069115038378975,-7.171563401930660e-02,2.705178215667233e+00,9.252548274731415e-02,2.820480449229641e+00
0.072256631032565,-7.189892826442097e-02,1.709453636379377e+00,8.636573168568036e-02,1.819237829025806e+00
0.075398223686155,-7.113112222578355e-02,7.987498073084285e-01,7.894491437027468e-02,9.013837706140181e-01
0.078539816339745,-6.942791899893455e-02,-2.168554619156071e-02,7.036393965045902e-02,7.228092983481720e-02
0.081681408993335,-6.682214803664409e-02,-7.480103558071981e-01,6.075087527875028e-02,-6.640796711720752e-01
0.084823001646924,-6.336292651609639e-02,-1.377799079958739e+00,5.025838650319256e-02,-1.305092825276550e+00
0.087964594300514,-5.911450833915597e-02,-1.910031109436221e+00,3.906060992795655e-02,-1.849531553118106e+00
0.091106186954104,-5.415484839782973e-02,-2.345057399637649e+00,2.734953154719581e-02,-2.297518343676686e+00
0.094247779607694,-4.857391534175083e-02,-2.684546384284883e+00,1.533094901259399e-02,-2.650476169661115e+00
0.097389372261284,-4.247179090181889e-02,-2.931410564343734e+00,3.220107530454090e-03,-2.911060552587301e+00
