theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,1.811831594935990e-01,1.784951204775667e+00,1.811831601521341e-01,1.784951208989042e+00
0.003141592653590,1.805019735754133e-01,1.784525056486180e+00,1.815474954635689e-01,1.784465517440945e+00
0.006283185307180,1.784599650484075e-01,1.783246967078244e+00,1.826395858378723e-01,1.783008587994725e+00
0.009424777960769,1.750617797294482e-01,1.781118003117234e+00,1.844566857580116e-01,1.780580857244495e+00
0.012566370614359,1.703151545774169e-01,1.778139942705214e+00,1.869942230869855e-01,1.777183056173842e+00
0.015707963267949,1.642309085699775e-01,1.774315276210650e+00,1.902458046645629e-01,1.772816215139078e+00
0.018849555921539,1.568229298921552e-01,1.769647207269888e+00,1.942032241620580e-01,1.767481670832105e+00
0.021991148575129,1.481081593986160e-01,1.764139654040958e+00,1.988564722142742e-01,1.761181075209277e+00
0.025132741228718,1.381065703005629e-01,1.757797250684151e+00,2.041937488533873e-01,1.753916406368103e+00
0.028274333882308,1.268411440182332e-01,1.750625349038639e+00,2.102014782747035e-01,1.745689981349451e+00
0.031415926535898,1.143378421306218e-01,1.742630020459620e+00,2.168643259694324e-01,1.736504470838834e+00
0.034557519189488,1.006255743442264e-01,1.733818057774580e+00,2.241652182649093e-01,1.726362915734890e+00
0.037699111843078,8.573616239496352e-02,1.724196977313307e+00,2.320853643172363e-01,1.715268745549021e+00
0.040840704496667,6.970429978844057e-02,1.713775020960761e+00,2.406042806065094e-01,1.703225798594430e+00
0.043982297150257,5.256750727739455e-02,1.702561158177933e+00,2.496998179887837e-01,1.690238343917683e+00
0.047123889803847,3.436608396843986e-02,1.690565087931449e+00,2.593481913631933e-01,1.676311104920448e+00
0.050265482457437,1.514305394422102e-02,1.677797240468222e+00,2.695240120165584e-01,1.661449284612751e+00
0.053407075111026,-5.055891717024276e-03,1.664268778867976e+00,2.802003227108207e-01,1.645658592433348e+00
0.056548667764616,-2.618245764682429e-02,1.649991600302386e+00,2.913486355816979e-01,1.628945272566316e+00
0.059690260418206,-4.818581174149814e-02,1.634978336926538e+00,3.029389729190428e-01,1.611316133676708e+00
0.062831853071796,-7.101265769386370e-02,1.619242356324379e+00,3.149399109012071e-01,1.592778579980703e+00
