theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,2.003624926415895e-01,1.072467903507204e+00,2.003624907702868e-01,1.072467900698231e+00
0.003141592653590,2.002114055323340e-01,1.072408290779896e+00,2.004368435253389e-01,1.072412283669822e+00
0.006283185307180,1.997582193713319e-01,1.072229458189842e+00,2.006598565782849e-01,1.072245420203111e+00
0.009424777960769,1.990031597264188e-01,1.071931422562427e+00,2.010313942807178e-01,1.071967273125803e+00
0.012566370614359,1.979466025509346e-01,1.071514211979162e+00,2.015512305610369e-01,1.071577780545926e+00
0.015707963267949,1.965890741938580e-01,1.070977865836417e+00,2.022190489382218e-01,1.071076855944686e+00
0.018849555921539,1.949312514136323e-01,1.070322434927555e+00,2.030344425413022e-01,1.070464388306435e+00
0.021991148575129,1.929739613952934e-01,1.069547981548395e+00,2.039969141347470e-01,1.069740242285846e+00
0.025132741228718,1.907181817703964e-01,1.068654579625858e+00,2.051058761500371e-01,1.068904258412321e+00
0.028274333882308,1.881650406390448e-01,1.067642314869632e+00,2.063606507237946e-01,1.067956253331618e+00
0.031415926535898,1.853158165934354e-01,1.066511284946750e+00,2.077604697427906e-01,1.066896020084860e+00
0.034557519189488,1.821719387419890e-01,1.065261599678795e+00,2.093044748963253e-01,1.065723328424839e+00
0.037699111843078,1.787349867331505e-01,1.063893381261567e+00,2.109917177364815e-01,1.064437925169820e+00
0.040840704496667,1.750066907778164e-01,1.062406764506933e+00,2.128211597468019e-01,1.063039534594795e+00
0.043982297150257,1.709889316692215e-01,1.060801897106586e+00,2.147916724200287e-01,1.061527858860323e+00
0.047123889803847,1.666837407990317e-01,1.059078939917394e+00,2.169020373455712e-01,1.059902578479049e+00
0.050265482457437,1.620933001682588e-01,1.057238067268027e+00,2.191509463074480e-01,1.058163352819907e+00
0.053407075111026,1.572199423915226e-01,1.055279467286468e+00,2.215370013934937e-01,1.056309820650184e+00
0.056548667764616,1.520661506930290e-01,1.053203342248034e+00,2.240587151167090e-01,1.054341600715448e+00
0.059690260418206,1.466345588927440e-01,1.051009908943522e+00,2.267145105495628e-01,1.052258292357504e+00
0.062831853071796,1.409279513807263e-01,1.048699399066965e+00,2.295027214723461e-01,1.050059476170410e+00
0.065973445725386,1.349492630779605e-01,1.046272059622594e+00,2.324215925364528e-01,1.047744714694671e+00
0.069115038378975,1.287015793815341e-01,1.043728153350461e+00,2.354692794437541e-01,1.045313553149682e+00
0.072256631032565,1.221881360922106e-01,1.041067959170243e+00,2.386438491431026e-01,1.042765520204527e+00
0.075398223686155,1.154123193221007e-01,1.038291772642611e+00,2.419432800451852e-01,1.040100128787203e+00
0.078539816339745,1.083776653802223e-01,1.035399906447636e+00,2.453654622569181e-01,1.037316876932336e+00
0.081681408993335,1.010878606335699e-01,1.032392690879606e+00,2.489081978366360e-01,1.034415248667478e+00
0.084823001646924,9.354674134119179e-02,1.029270474357572e+00,2.525692010714189e-01,1.031394714938037e+00
0.087964594300514,8.575829345883204e-02,1.026033623951054e+00,2.563460987778508e-01,1.028254734570928e+00
0.091106186954104,7.772665241134184e-02,1.022682525920100e+00,2.602364306276916e-01,1.024994755276910e+00
0.094247779607694,6.945610283026957e-02,1.019217586269043e+00,2.642376494998412e-01,1.021614214691758e+00
0.097389372261284,6.095107825381828e-02,1.015639231313218e+00,2.683471218600864e-01,1.018112541456208e+00
0.100530964914873,5.221616078618191e-02,1.011947908257768e+00,2.725621281701998e-01,1.014489156334685e+00
0.103672557568463,4.325608071343606e-02,1.008144085787842e+00,2.768798633278967e-01,1.010743473372872e+00
0.106814150222053,3.407571607284873e-02,1.004228254669267e+00,2.812974371392949e-01,1.006874901094019e+00
0.109955742875643,2.468009217259226e-02,1.000200928358861e+00,2.858118748254673e-01,1.002882843733997e+00
0.113097335529233,1.507438105857694e-02,9.960626436234827e-01,2.904201175648157e-01,9.987667025149979e-01
0.116238928182822,5.263900925292476e-03,9.918139611668930e-01,2.951190230728913e-01,9.945258769578249e-01
0.119380520836412,-4.745884532740947e-03,9.874554662634706e-01,2.999053662214542e-01,9.901597662326390e-01
0.122522113490002,-1.494936683222246e-02,9.829877693978054e-01,3.047758396984894e-01,9.856677705480187e-01
0.125663706143592,-2.534079347843358e-02,9.784115069091495e-01,3.097270547109679e-01,9.810492925781823e-01
0.128805298797182,-3.591426881219753e-02,9.737273416396863e-01,3.147555417321667e-01,9.763037389281642e-01
0.131946891450771,-4.666375492992161e-02,9.689359635855531e-01,3.198577512953532e-01,9.714305216367152e-01
0.135088484104361,-5.758307268027566e-02,9.640380905495080e-01,3.250300548356823e-01,9.664290597166775e-01
0.138230076757951,-6.866590274110505e-02,9.590344687941197e-01,3.302687455821625e-01,9.612987807324982e-01
0.141371669411541,-7.990578678022298e-02,9.539258736943118e-01,3.355700395015731e-01,9.560391224145952e-01
0.144513262065130,-9.129612870365438e-02,9.487131103880950e-01,3.409300762961675e-01,9.506495343101333e-01
0.147654854718720,-1.028301959950803e-01,9.433970144242717e-01,3.463449204570937e-01,9.451294794698633e-01
0.150796447372310,-1.145011211501892e-01,9.379784524058338e-01,3.518105623754132e-01,9.394784361704731e-01
0.153938040025900,-1.263019032095217e-01,9.324583226278479e-01,3.573229195125623e-01,9.336958996720132e-01
0.157079632679490,-1.382254093936809e-01,9.268375557084804e-01,3.628778376322104e-01,9.277813840097816e-01
